time_s,accel_x_g,accel_y_g,accel_z_g
1.5115,-0.4238,-9.8928,0.0742
1.5144,-0.4190,-9.9120,0.0575
1.5174,-0.4310,-9.9599,0.1101
1.5204,-0.3998,-9.9168,0.1365
1.5234,-0.4166,-9.8737,-0.1125
1.5263,-0.4046,-9.9359,0.1437
1.5293,-0.4334,-10.1083,0.0886
1.5322,-0.4334,-9.9455,0.0383
1.5352,-0.6081,-9.9335,0.1006
1.5381,-0.4190,-9.9096,0.1748
1.5410,-0.4597,-9.8210,0.1221
1.5440,-0.3759,-9.9096,0.1317
1.5469,-0.3831,-9.8976,0.0910
1.5499,-0.3639,-9.9790,0.0120
1.5528,-0.3735,-9.9695,0.1173
1.5557,-0.3926,-9.9383,-0.0096
1.5588,-0.3998,-9.9288,0.1556
1.5617,-0.4046,-9.9814,0.0407
1.5647,-0.3735,-9.9264,0.1053
1.5676,-0.4286,-9.9647,0.1413
1.5706,-0.4621,-9.9216,0.0742
1.5735,-0.4453,-9.9000,0.0982
1.5764,-0.3663,-9.9982,0.1245
1.5794,-0.4214,-9.9431,0.0527
1.5823,-0.3783,-9.9311,0.1484
1.5853,-0.5387,-9.9240,0.0838
1.5882,-0.3567,-9.8785,0.1724
1.5911,-0.5626,-9.9335,0.0551
1.5941,-0.3783,-9.9527,0.0910
1.5970,-0.4142,-9.8857,0.2274
1.6000,-0.5794,-9.9144,0.0934
1.6029,-0.4142,-9.9096,0.1293
1.6058,-0.4381,-9.9407,0.1365
1.6088,-0.4357,-9.9072,0.0790
1.6117,-0.3759,-9.9671,0.1341
1.6146,-0.4262,-9.9383,0.1413
1.6176,-0.3926,-9.9096,0.1844
1.6206,-0.4214,-9.8928,0.2322
1.6236,-0.4070,-9.9048,0.0024
1.6265,-0.4070,-9.9695,0.1389
1.6295,-0.4046,-9.9000,0.1245
1.6324,-0.4238,-9.9168,0.2753
1.6354,-0.4046,-9.9024,0.0383
1.6383,-0.3998,-9.9575,0.0599
1.6413,-0.4238,-9.9311,0.1341
1.6442,-0.4142,-9.8857,0.1197
1.6471,-0.3735,-10.0796,0.1437
1.6501,-0.4357,-9.9359,0.1939
1.6530,-0.4334,-9.9479,0.1101
1.6560,-0.5483,-9.9264,0.1053
1.6589,-0.4046,-9.9120,0.1221
1.6618,-0.4621,-9.8713,0.1077
1.6648,-0.3807,-9.9479,0.1221
1.6677,-0.4118,-9.9240,0.1293
1.6707,-0.4070,-9.8761,0.1317
1.6736,-0.4334,-9.9766,0.1269
1.6765,-0.4310,-9.9479,0.1245
1.6795,-0.4477,-9.9982,0.2729
1.6824,-0.4453,-9.9216,0.1556
1.6854,-0.4525,-9.9335,0.2705
1.6883,-0.3950,-9.9192,0.1365
1.6912,-0.4501,-9.9288,0.1293
1.6942,-0.3879,-9.9264,0.1269
1.6971,-0.3926,-9.8210,0.1293
1.7001,-0.3974,-9.9503,0.1101
1.7030,-0.4142,-9.9216,0.1413
1.7059,-0.3879,-9.9623,0.1245
1.7089,-0.4046,-9.9096,0.2274
1.7118,-0.4812,-9.9359,0.1915
1.7148,-0.4429,-9.9838,0.0359
1.7177,-0.4310,-9.9168,0.1604
1.7206,-0.4070,-9.9455,0.0982
1.7236,-0.4142,-9.8665,0.0024
1.7266,-0.3879,-9.8857,0.0670
1.7296,-0.4717,-9.9192,0.1437
1.7325,-0.4238,-9.8785,0.0886
1.7354,-0.3879,-9.9407,0.0670
1.7384,-0.4429,-9.9216,0.0790
1.7413,-0.4645,-9.9599,0.1532
1.7443,-0.3112,-9.9575,0.2418
1.7472,-0.3807,-9.9168,0.0838
1.7501,-0.4621,-10.1035,0.1317
1.7531,-0.3663,-10.0652,0.0838
1.7560,-0.4501,-9.9216,0.0934
1.7590,-0.4022,-9.9240,0.1317
1.7619,-0.3496,-9.9359,0.2107
1.7648,-0.4286,-9.9862,0.0790
1.7678,-0.4166,-9.9623,0.1245
1.7707,-0.4022,-9.8737,0.0718
1.7737,-0.4501,-9.9000,0.1748
1.7766,-0.4022,-9.9431,0.1437
1.7795,-0.3831,-9.9527,0.0024
1.7825,-0.4286,-9.9288,0.0670
1.7854,-0.3879,-9.9407,0.1006
1.7884,-0.4501,-9.9647,0.1460
1.7913,-0.4046,-9.9575,0.1365
1.7942,-0.4238,-9.9431,0.0838
1.7972,-0.3855,-9.8210,0.1628
1.8001,-0.6033,-10.0772,0.1604
1.8031,-0.3831,-9.9120,0.0790
1.8060,-0.3136,-9.9240,0.0982
1.8089,-0.4262,-9.9742,0.1532
1.8119,-0.3735,-9.8833,0.1341
1.8148,-0.2993,-9.8952,0.0694
1.8177,-0.4477,-9.9718,0.1269
1.8207,-0.4381,-9.9192,0.0622
1.8236,-0.4310,-9.9359,0.1101
1.8266,-0.4046,-9.9096,0.0263
1.8296,-0.3711,-9.9335,0.0144
1.8326,-0.3711,-9.9407,0.0311
1.8355,-0.4238,-9.9407,0.1125
1.8384,-0.3974,-9.9072,0.0646
1.8414,-0.4214,-9.9455,0.0670
1.8443,-0.4214,-9.9192,0.1700
1.8473,-0.3136,-9.9144,0.1101
1.8502,-0.3903,-9.9551,0.1460
1.8531,-0.5866,-10.0173,0.1125
1.8561,-0.4262,-9.9048,0.1413
